Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,ISIN
PG,PROCTER & GAMBLE,Consumer Staples,Equity,4444518184.72,0.5,"4,444,518,184.72",31050148.0,143.14,United States,NYSE,USD,1.0,USD,-,
HD,HOME DEPOT,Consumer Discretionary,Equity,4364261194.75,0.49,"4,364,261,194.75",13280975.0,328.61,United States,NYSE,USD,1.0,USD,-,
PANW,PALO ALTO NETWORKS,Information Technology,Equity,4139968766.05,0.47,"4,139,968,766.05",10813553.0,382.85,United States,NASDAQ,USD,1.0,USD,-,
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,4094059175.35,0.46,"4,094,059,175.35",3933305.0,1040.87,United States,NYSE,USD,1.0,USD,-,
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,3958503168.48,0.45,"3,958,503,168.48",20781726.0,190.48,United States,NYSE,USD,1.0,USD,-,
RTX,RTX,Industrials,Equity,3808253754.8,0.43,"3,808,253,754.80",17956685.0,212.08,United States,NYSE,USD,1.0,USD,-,
WFC,WELLS FARGO,Financials,Equity,3467151652.37,0.39,"3,467,151,652.37",40804421.0,84.97,United States,NYSE,USD,1.0,USD,-,
ORCL,ORACLE,Information Technology,Equity,3437744755.62,0.39,"3,437,744,755.62",22625673.0,151.94,United States,NYSE,USD,1.0,USD,-,
MS,MORGAN STANLEY,Financials,Equity,3434317727.94,0.39,"3,434,317,727.94",15983979.0,214.86,United States,NYSE,USD,1.0,USD,-,
GEV,GE VERNOVA INC,Industrials,Equity,3417542367.44,0.38,"3,417,542,367.44",3582968.0,953.83,United States,NYSE,USD,1.0,USD,-,
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,3234488487.84,0.36,"3,234,488,487.84",12135096.0,266.54,United States,NASDAQ,USD,1.0,USD,-,
KLAC,KLA,Information Technology,Equity,3200839886.57,0.36,"3,200,839,886.57",17417641.0,183.77,United States,NASDAQ,USD,1.0,USD,-,
AMGN,AMGEN INC,Health Care,Equity,3144101098.96,0.35,"3,144,101,098.96",7194904.0,436.99,United States,NASDAQ,USD,1.0,USD,-,
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,3125216258.5,0.35,"3,125,216,258.50",4955155.0,630.7,United States,NYSE,USD,1.0,USD,-,
CRWD,CROWDSTRIKE HOLDINGS CLASS A,Information Technology,Equity,3094786783.68,0.35,"3,094,786,783.68",13576008.0,227.96,United States,NASDAQ,USD,1.0,USD,-,
C,CITIGROUP INC,Financials,Equity,3017378308.96,0.34,"3,017,378,308.96",22741772.0,132.68,United States,NYSE,USD,1.0,USD,-,
IBM,INTERNATIONAL BUSINESS MACHINES,Information Technology,Equity,2992551143.34,0.34,"2,992,551,143.34",12532146.0,238.79,United States,NYSE,USD,1.0,USD,-,
LIN,LINDE PLC,Materials,Equity,2992206532.15,0.34,"2,992,206,532.15",6165049.0,485.35,United States,NASDAQ,USD,1.0,USD,-,
SNDK,SANDISK,Information Technology,Equity,2932137721.5,0.33,"2,932,137,721.50",1974570.0,1484.95,United States,NASDAQ,USD,1.0,USD,-,
MRVL,MARVELL TECHNOLOGY,Information Technology,Equity,2818829514.05,0.32,"2,818,829,514.05",11674589.0,241.45,United States,NASDAQ,USD,1.0,USD,-,
ANET,ARISTA NETWORKS INC,Information Technology,Equity,2768560869.3,0.31,"2,768,560,869.30",13767770.0,201.09,United States,NYSE,USD,1.0,USD,-,
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,2752087714.38,0.31,"2,752,087,714.38",55676466.0,49.43,United States,NYSE,USD,1.0,USD,-,
CRM,SALESFORCE,Information Technology,Equity,2749401980.05,0.31,"2,749,401,980.05",10908161.0,252.05,United States,NYSE,USD,1.0,USD,-,
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,2647241048.12,0.3,"2,647,241,048.12",16403774.0,161.38,United States,NYSE,USD,1.0,USD,-,
ABT,ABBOTT LABORATORIES,Health Care,Equity,2592491464.28,0.29,"2,592,491,464.28",23232292.0,111.59,United States,NYSE,USD,1.0,USD,-,
PEP,PEPSICO,Consumer Staples,Equity,2546269156.2,0.29,"2,546,269,156.20",18224085.0,139.72,United States,NASDAQ,USD,1.0,USD,-,
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Information Technology,Equity,2532826396.8,0.28,"2,532,826,396.80",2989644.0,847.2,United States,NASDAQ,USD,1.0,USD,-,
DIS,WALT DISNEY,Communication,Equity,2473337519.1,0.28,"2,473,337,519.10",23154255.0,106.82,United States,NYSE,USD,1.0,USD,-,
GILD,GILEAD SCIENCES,Health Care,Equity,2464403797.08,0.28,"2,464,403,797.08",16555178.0,148.86,United States,NASDAQ,USD,1.0,USD,-,
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,2463763709.68,0.28,"2,463,763,709.68",9473828.0,260.06,United States,NYSE,USD,1.0,USD,-,
ADI,ANALOG DEVICES,Information Technology,Equity,2438052168.6,0.27,"2,438,052,168.60",6509805.0,374.52,United States,NASDAQ,USD,1.0,USD,-,
UNP,UNION PACIFIC,Industrials,Equity,2435654786.84,0.27,"2,435,654,786.84",7916452.0,307.67,United States,NYSE,USD,1.0,USD,-,
AXP,AMERICAN EXPRESS,Financials,Equity,2371292590.64,0.27,"2,371,292,590.64",7096279.0,334.16,United States,NYSE,USD,1.0,USD,-,
T,AT&T INC,Communication,Equity,2356054838.91,0.27,"2,356,054,838.91",92648637.0,25.43,United States,NYSE,USD,1.0,USD,-,
